id,año,presidente,protagonista_etiqueta,protagonista_descripcion,protagonista_citas,antagonista_etiqueta,antagonista_descripcion,antagonista_citas,sueno_etiqueta,sueno_descripcion,sueno_citas,epica_marco,epica_descripcion,epica_citas,metafora_central
discurso_1990,1990,aylwin,el pueblo chileno recuperando la democracia tras la dictadura,"El sujeto central es la ciudadanía chilena que retorna a la convivencia democrática después de dieciséis años de régimen autoritario. El relato se construye desde la recuperación colectiva de derechos y libertades, con Aylwin como su conductor elegido.","Desde hace setenta días, los chilenos vivimos nuevamente bajo un régimen democrático. || el chileno común está viviendo en libertad una vida más plena y más segura, sin los miedos del pasado, con alegría y esperanza, porque se sabe respetado y tomado en cuenta en su dignidad de persona || la dura experiencia de tantos años de confrontación y sufrimiento nos ha enseñado a superar caducos prejuicios e intransigencias ideológicas, a respetar explicables discrepancias","la dictadura y sus herencias: violaciones, desigualdad y división","El antagonista es el régimen autoritario de dieciséis años y sus secuelas materiales y morales: violaciones a los derechos humanos, deuda social acumulada, polarización y el miedo instalado en la vida cotidiana. No es un actor presente sino un pasado que obstruye el futuro.","Nadie puede ofenderse porque se diga que en Chile hubo dictadura; es tan sólo llamar las cosas por su nombre. || Durante más de dieciséis años, quienes gobernaron el país vivieron descalificando diariamente a sus predecesores y denigrando a sus adversarios. || Los últimos dieciséis años han significado un serio retroceso en la situación de los más pobres. En cada recesión, los sectores de menores ingresos sufrieron la desocupación y la caída de sus remuneraciones.","una patria unida en democracia, con justicia social y reconciliación","La visión aspiracional es un Chile reconciliado, donde la democracia política, el crecimiento económico y la justicia social se persigan simultáneamente. Es un país que supera la dualidad entre modernidad y marginalidad, donde todos son compatriotas y no enemigos.","Mi mayor anhelo como gobernante es entregar, a quien el pueblo elija para sucederme, una patria unida en democracia. || trabajadores, empresarios y Gobierno concuerdan en que Chile tiene hoy, como nunca antes, una oportunidad histórica de conjugar democracia política con desarrollo económico y con justicia social. || corremos el riesgo de consolidar dos países distintos y antagónicos: uno, el Chile de los que tienen acceso a la modernidad y a los frutos del crecimiento; y otro, el de los marginados",reconciliación,"El momento histórico se enmarca como una transición hacia la reconciliación nacional: el país no refunda desde cero ni celebra una ruptura total, sino que cicatriza heridas, recupera tradiciones democráticas y construye acuerdos sobre un pasado doloroso que no puede ignorarse. La épica es la del reencuentro entre compatriotas divididos.",Nuestra primera tarea es lograr la reconciliación nacional fundada en la verdad y en la justicia. || Afrontarlos no es reabrir heridas: es procurar cicatrizarlas. || Chile está viviendo una etapa promisoria de reencuentro nacional. La lógica de guerra que dividía a los chilenos en amigos y enemigos ha sido superada por la lógica de la paz.,cicatrizar heridas para reconstruir la casa común
discurso_1991,1991,aylwin,la democracia renaciente que gestiona el bien común,"El sujeto central no es el pueblo abstracto sino la institucionalidad democrática restaurada, encarnada en un gobierno que administra con responsabilidad la transición. Aylwin habla en nombre de un 'nosotros' que incluye gobierno, partidos y actores sociales comprometidos con el Estado de Derecho.","Nuestra renaciente democracia funciona sobre las bases de la plena vigencia de los derechos humanos y las libertades públicas, y del cabal ejercicio de sus atribuciones por los Poderes del Estado || No hemos llegado al Gobierno simplemente para administrar ese estado de cosas, sino para procurar cambiarlo. || Fiel a su misión fundamental de promover la unidad nacional, mi Gobierno está empeñado en que, cada vez más, las instituciones armadas y la sociedad civil compartamos los mismos valores",el pasado autoritario y sus herencias no resueltas,"El antagonista es el régimen militar anterior, cuyas consecuencias persisten en violaciones a los derechos humanos sin juzgar, una Constitución con enclaves autoritarios, tensiones con las Fuerzas Armadas y el terrorismo como herencia de la polarización. No se nombra frontalmente, pero estructura todo el relato.","Contrasta esta realidad con los negros presagios de quienes vaticinaban que nuestro gobierno traería al país caos político, desastre económico y desorden social. || los frutos de ese crecimiento se concentraron en unos pocos, sin beneficiar a los trabajadores ni a la multitud de compatriotas que viven en situación de pobreza. || Lo que el Gobierno no aceptará en ningún caso es la creación, para combatir al terrorismo, de organismos como los que existieron en el Régimen pasado, claramente incompatibles con las normas constitucionales y con los principios democráticos.","Chile reconciliado, equitativo y plenamente integrado al mundo","La visión aspiracional es un país donde la verdad y la justicia sobre el pasado permitan la unidad, donde el crecimiento económico se distribuya con equidad, y donde Chile ocupe un lugar respetado en la comunidad internacional. Es una promesa de normalidad democrática plena, no de transformación radical.","la clara dirección de construir una sociedad equitativa, y Chile se ha reinsertado plenamente, suscitando gran respeto y simpatía, en el ámbito internacional. || Mi Gobierno procurará incansablemente dejar como legado al país una economía fuerte, estable, integrada al resto del mundo y equitativa, es decir, solidaria. || La aceptación de esa verdad, compartida por la comunidad nacional, removerá un motivo de disputa y de división entre los chilenos.",reconciliación,"El momento histórico se enmarca como una tarea de reencuentro de la 'familia chilena' dividida por el autoritarismo. No es refundación ni ruptura, sino un laborioso proceso de superación de agravios para restaurar la convivencia democrática sobre bases de verdad, justicia y acuerdo.","mi profunda convicción de que el reencuentro y unidad de la familia chilena no podrían alcanzarse sin un serio esfuerzo para superar los agravios del pasado || en la medida misma en que nos concentremos en las tareas del presente y del futuro, dejando atrás el pasado -que la historia juzgará-, ese esfuerzo será más fácil y fecundo. || Alcanzar un entendimiento en esas materias, significaría dar un gran paso en la consolidación de nuestra democracia.",la democracia renaciente que avanza por cauces del derecho
discurso_1992,1992,aylwin,la nación reconciliada avanzando hacia la democracia plena,"El sujeto central es Chile como comunidad que ha superado la división autoritaria y camina colectivamente hacia la consolidación democrática. El Presidente Aylwin se presenta como conductor de ese proceso, pero el verdadero protagonista es la convivencia nacional recuperada.","Chile es hoy un país reconciliado, en que la fatídica división entre 'amigos y enemigos' que imperó por tanto tiempo ha cedido lugar a una convivencia entre compatriotas capaces de respetarnos en nuestras legítimas diferencias. || En estos dos años hemos alcanzado en el país un clima de convivencia civilizada, en un ambiente de paz cívica; de respeto a las personas; de ejercicio de derechos y libertades; de tolerancia. || Todo este proceso, que responde a las necesidades fundamentales del país y a los valores éticos que nos inspiran, es parte de la gran tarea histórica de construir una patria cada vez mejor y más próspera.",el régimen autoritario pasado y sus herencias institucionales,"El antagonista no es un actor presente sino el pasado dictatorial: sus crímenes, sus leyes amarradas y las distorsiones institucionales que aún perviven. El discurso los nombra como herencia a superar, no como enemigo activo.","La transición era el paso del Gobierno autoritario al Régimen democrático, del Estado policial al Estado de Derecho, del abuso de poder a la vigencia de las libertades. || la exigencia de 'proposición' del respectivo Comandante en Jefe o Director, manifiestamente inconstitucional, que las leyes orgánicas constitucionales de las Fuerzas Armadas y de Carabineros, dictadas en las postrimerías del Régimen anterior, prescribieron. || El sistema binominal mayoritario, actualmente establecido para la generación del Parlamento, afecta gravemente la representatividad del Congreso Nacional, y puede generar serias crisis de gobernabilidad.","una patria próspera, justa y plenamente democrática para todos","La visión aspiracional es un Chile donde la libertad, la justicia y la solidaridad sean reales para todos los ciudadanos, con instituciones democráticas auténticas, economía moderna y superación de la pobreza. Se proyecta como tarea que trasciende al gobierno actual.","construir una patria cada vez mejor y más próspera, donde la libertad, la justicia, la solidaridad y la alegría de vivir sean ciertas para todos. || Consecuentes con nuestra convicción de que el mayor desafío de los pueblos del mundo es derrotar a la pobreza, lo que exige de todos un serio esfuerzo de solidaridad y justicia social internacional. || alcanzar en nuestro Chile una forma de convivencia nacional verdaderamente libre y humana que, superando las hondas divisiones y heridas del pasado, se fundara en el respeto a la verdad y a las personas, en la plena vigencia de los derechos humanos.",reconciliación,"El momento histórico se enmarca como la consolidación exitosa de la reconciliación nacional tras la dictadura. Aylwin presenta el período no como transición inconclusa sino como etapa superada, y el relato épico es el de una nación que eligió el entendimiento sobre la venganza.","Recién enterada la mitad de mi mandato, es satisfactorio para mí -y confío que lo será para todos los chilenos- comprobar que las metas de reconciliación nacional, consolidación democrática, desarrollo económico, justicia social y reinserción internacional que nos propusimos están siendo cumplidas. || Pudimos llegar, en son de vencedores, a vengar agravios, a denunciar abusos y privilegios... Preferimos el camino del entendimiento y la reconciliación. || Esto es lo que me llevó a decir, hace algún tiempo, que considero concluida la etapa de 'transición a la democracia'.",construir la patria desde la convivencia civilizada
discurso_1993,1993,aylwin,la nación en transición democrática consolidando logros concretos,"El sujeto central es Chile como colectividad que ya completó el tránsito desde el autoritarismo y ahora administra, mide y acumula resultados. El Presidente habla desde el rol de gestor que rinde cuentas de tareas cumplidas.","El tránsito del largo lapso de régimen autoritario al funcionamiento normal de nuestra convivencia democrática ha tenido lugar sin traumas ni quebrantos. || Chile vive en paz. La gente goza de libertad. El país progresa. Nuestra estabilidad política, nuestro crecimiento económico y nuestro desarrollo social suscitan elogios en el exterior. || el país ha entrado en una senda de crecimiento alto y sostenido, que se está traduciendo en una mejoría permanente en las condiciones de vida de la población, sobre todo de los más pobres",el legado autoritario y los enclaves institucionales que frenan la democracia,"El antagonista principal es el pasado autoritario y sus residuos institucionales vigentes: el sistema electoral binominal, los senadores designados, las leyes orgánicas que limitan al Presidente. No es una fuerza exterior sino una herencia incrustada en la propia institucionalidad.","Digámoslo con franqueza: todos estos son rasgos de lo que los teóricos del autoritarismo llaman democracia 'protegida' o 'tutelada'. Le tienen miedo a la democracia y se valen de estos mecanismos para frenar el cumplimiento de la voluntad del pueblo. || el país venía saliendo de un largo período de profundas divisiones, en el que, por variados motivos, prevaleció en nuestra convivencia una lógica de guerra que separaba a los chilenos en 'amigos' y 'enemigos'. || La restricción impuesta por las referidas Leyes Orgánicas, dictadas pocos días antes de que asumiera el Gobierno democrático, contradice esos claros textos","democracia plena, equidad social y desarrollo sostenido sin tutelas","El Chile prometido es uno donde la democracia funciona sin amarras autoritarias, la pobreza retrocede gracias al crecimiento con equidad, y la convivencia descansa en la reconciliación y la justicia. Es un horizonte de normalidad democrática y progreso compartido.","construir la unidad nacional, consolidar y perfeccionar nuestra democracia, desarrollar y modernizar nuestra economía, promover la justicia social e integrar a Chile como actor respetado en la comunidad internacional || creo en la capacidad del pueblo para gobernarse, sin 'tutores', dentro del marco de las reglas básicas institucionales || La vigencia de la libertad, la equitativa participación democrática, la superación de la extrema pobreza, la eliminación de las injusticias sociales y el prestigio de la nación son requisitos indispensables para lograr una verdadera y sólida unidad nacional.",recuperación,"El momento se enmarca como una recuperación ya casi consumada: la democracia fue restaurada sin trauma, los indicadores mejoran y las instituciones funcionan. El tono no es de refundación sino de consolidación de lo recuperado, con tareas pendientes que trascienden al gobierno.","A poco de cumplir tres años de Gobierno y recién iniciado el último de mi mandato, cumplo el deber constitucional de dar cuenta al país 'del estado administrativo y político de la Nación'. || Debe ser motivo de legítima satisfacción para los chilenos, especialmente para quienes tenemos responsabilidades en la conducción de nuestra patria, la forma como ha transcurrido la vida política, económica y social del país en este período. || Pienso que todas éstas son tareas nacionales, de proyección histórica, que trascienden un Gobierno y que, a medida que se las va cumpliendo, adquieren nuevas modalidades.",tareas nacionales que se van cumpliendo paso a paso
discurso_1994,1994,frei,una nación con oportunidad histórica que debe aprovecharla,"El sujeto central no es el gobierno ni un grupo excluido, sino Chile como comunidad que, por primera vez en décadas, tiene las condiciones para saltar al desarrollo. El relato convoca a todos los chilenos a asumir colectivamente esa oportunidad.","Vengo a afirmar que Chile tiene una gran oportunidad histórica. Vengo a invitar al país a asumirla. || El fruto de múltiples gobiernos y de profundas experiencias sociales conforma una herencia única que hoy la historia pone en nuestras manos. || Si somos capaces de mantener estas tendencias en los próximos diez años, ciertamente el país del próximo siglo habrá alcanzado el umbral donde concluye el subdesarrollo.","el subdesarrollo, la pobreza y las oportunidades históricas perdidas","El adversario no es un actor político presente sino una condición estructural: el subdesarrollo que persiste, la pobreza que excluye a compatriotas, y el fantasma de haber desperdiciado oportunidades similares en el pasado. La amenaza es interna y acumulada.","Es una gran amargura para un pueblo perder su oportunidad y esperar largos períodos para encontrar una nueva. || Si no actuamos con decisión en estos planos, seremos responsables de estar perpetuando la existencia de dos países: un Chile moderno, rico y próspero, y otro añejo, atrasado y pobre. || el 50 por ciento del sector más pobre de nuestra población, los niños de cuarto año básico no son capaces de aprender a leer y escribir. Esa es la realidad.","Chile desarrollado, sin pobreza extrema, integrado al mundo","La visión aspiracional es un país que supera el subdesarrollo en una generación, donde el crecimiento económico sostenido se acompaña de equidad social, educación de calidad e inserción internacional plena. Es un Chile que, por fin, es una sola patria para todos.",Nuestra generación de políticos será la responsable de responder ante la historia por lo que seamos capaces de hacer para que Chile sea una sola patria. || el país del próximo siglo habrá alcanzado el umbral donde concluye el subdesarrollo. || más de un millón 200 mil de nuestros compatriotas dejaron de ser pobres de la manera más digna conocida: trabajando y ganándose su propio sustento.,oportunidad,"El momento histórico se enmarca como una ventana excepcional y frágil que Chile no puede volver a desperdiciar. La constelación de factores económicos, internacionales y democráticos abre una posibilidad única que exige disciplina colectiva y unidad nacional.",Mi convicción más profunda es que una poderosa constelación de factores nacionales e internacionales abre ante nosotros una gran oportunidad. || Este mensaje es un testimonio de que se abre un nuevo ciclo histórico. || estamos ante una nueva oportunidad histórica.,una oportunidad histórica que no se puede desperdiciar
discurso_1995,1995,frei,la nación conducida hacia su oportunidad histórica de desarrollo,"El sujeto central no es el gobierno ni el pueblo en abstracto, sino Chile como comunidad histórica que tiene ante sí una ventana excepcional de progreso. El Presidente se presenta como conductor que cuida esa oportunidad en nombre de todos.","Desde el principio de mi Gobierno, he reiterado que Chile tiene una nueva oportunidad en su desarrollo. || Mi principal deber es cuidar esta oportunidad histórica. El país no puede entrar en confusiones que lo paralicen. || La oportunidad que se nos ofrece tiene sus más sólidos cimientos en el esfuerzo del pueblo de Chile.","obstáculos internos: instituciones autoritarias, desigualdad y conductas regresivas","El antagonista no es un actor externo sino una constelación de fuerzas internas: instituciones de origen autoritario que obstruyen la democracia plena, comportamientos de élites que privatizan ganancias y socializan pérdidas, y actitudes de mediocridad y hedonismo que dilapidan la oportunidad.","el país se da cuenta de la contradicción de vivir en un ambiente de normalidad democrática, y experimentar a la vez una obstrucción proveniente de instituciones de origen autoritario y sin raíces en nuestra tradición republicana. || ¡El país se cansa de quienes en la mañana exigen reducir el Estado y en la tarde ya están pidiendo que los protejan de los vaivenes del mercado! || he denunciado el flagelo del hedonismo a través de la droga o el exceso de consumo, porque nos distrae del trabajo realizado con puntualidad, excelencia e innovación.","Chile desarrollado, equitativo, solidario y plenamente democrático antes del año 2000","La visión aspiracional es un país que termina con la extrema pobreza, alcanza estándares de naciones desarrolladas, completa su democracia institucional y cultiva una ética colectiva de excelencia, cooperación y solidaridad activa.","Es este horizonte de estabilidad, alto ahorro y mayor inversión lo que hace viable y creíble nuestra aspiración de terminar con la extrema pobreza en el país. || El reto para nosotros es más simple: construir un país a escala humana para catorce millones de chilenos, en que todas las dimensiones que unan el ser con el tener sean de calidad. || queremos vivir en paz interna y en concordia, y conquistar una mejor calidad de vida para todos los chilenos.",oportunidad,"El momento histórico se enmarca explícita y reiteradamente como una 'oportunidad' irrepetible: confluencia de crecimiento sostenido, transición democrática exitosa y apertura internacional. El discurso no refunda ni reconcilia; administra y cuida una ventana que podría cerrarse si no se actúa con responsabilidad.","La he llamado así para señalar un conjunto de factores internacionales, económicos y políticos que posibilitan un nuevo avance. || Hace ya más de un siglo, otros chilenos y chilenas creyeron que el progreso alcanzado ya era suficiente, y florecieron el diletantismo y la frivolidad. Ese fue el término de esa gran oportunidad. || Estamos viviendo una experiencia inédita y estimulante. Y como en todo proceso de transformación y adaptación, hay empuje e inercias; hay potencialidades y obstáculos.",la oportunidad histórica que hay que cuidar y no desperdiciar
discurso_1996,1996,frei,Chile como nación en marcha hacia el desarrollo histórico,"El sujeto central no es el pueblo sufriente ni el gobernante heroico, sino Chile como proceso colectivo de transformación que avanza hacia el desarrollo. El Presidente se presenta como testigo privilegiado y conductor de ese proceso.","desde el corazón de nuestra Nación está surgiendo un Chile desarrollado, que está más cerca de materializar el sueño sustentado por generaciones de visionarios y luchadores. || Chile progresa y experimenta una transformación de escala mayor y de alcances históricos. No sólo está cambiando nuestro paisaje económico y físico; también está cambiando nuestro rostro social || Al mismo tiempo, debemos tener presente que Chile ya no es más el de fines de la década del setenta. Tampoco es el mismo de fines de los ochenta.","el pasado autoritario, la pobreza y las resistencias al cambio","El antagonista es múltiple: el pasado dictatorial que 'se hace presente' (caso Letelier, enclaves autoritarios en la Constitución), la pobreza extrema heredada, y los senadores de oposición que bloquean la reforma constitucional.","El país volvió a experimentar, no sin cierta amargura y desilusión, que nuestro pasado se hacía presente con todo su potencial de conflicto y desgarro. || la posición de un grupo minoritario de senadores que se opusieron al proyecto me causa preocupación y la considero un grave error político y conceptual. || Ya dejamos atrás el Chile del PEM y del POJH, de ollas comunes, poblado de campamentos, con desempleo masivo, con niños que no tienen escuela donde ir o centros de salud donde ser atendidos.",Chile desarrollado con igualdad de oportunidades al umbral del siglo XXI,"La visión aspiracional es un Chile que llega al año 2000 habiendo derrotado la pobreza extrema, modernizado su infraestructura y construido una sociedad de oportunidades reales para todos, integrada al mundo y plenamente democrática.","el desafío presente y futuro de nuestra política social es convertir la gran oportunidad que tiene Chile, en oportunidades reales y efectivas para todos los chilenos y chilenas. || Chile no puede aspirar a ser un país moderno y desarrollado si no utiliza la voluntad y la imaginación necesarias para hacer compatibles el crecimiento con la equidad, el desarrollo con la solidaridad || hacer de nuestra Patria una nación profundamente libertaria y plenamente democrática",modernización,"El momento histórico se enmarca como una oportunidad irrepetible de modernización integral —económica, institucional, social e infraestructural— que Chile debe cuidar y profundizar. El riesgo no es la catástrofe sino desperdiciar la oportunidad.","Esta es mi tercer mensaje presidencial. Es la hora de reflexionar sobre nuestra marcha como Nación, en esta etapa de la realización de nuestra oportunidad histórica. || CUIDANDO NUESTRA OPORTUNIDAD. El camino hacia el desarrollo no es lineal y automático. Requiere cuidar lo que hemos logrado y prevenir en forma positiva situaciones que pueden impedir el despliegue de nuestras potencialidades. || Hemos tomado decisiones que, sin duda, transformarán radicalmente el rostro del país en los próximos años, en áreas vitales para nuestro desarrollo",el rostro de Chile que cambia y se transforma
discurso_1997,1997,frei,los chilenos excluidos que esperan su oportunidad histórica,"El relato sitúa en el centro a los compatriotas que han sido postergados —pobres, jóvenes, mujeres jefas de hogar, adultos mayores— como destinatarios de un proyecto de modernización con equidad. El gobierno actúa en su nombre y para su beneficio concreto.","las oportunidades son para todos y cada uno de los chilenos. Para los jóvenes, para los trabajadores, para las mujeres, para los empresarios, para los soldados. || ¡No más miseria a la orilla de los ríos, de las ciudades, de la vida! ¡Queremos un Chile sin campamentos, con viviendas dignas para nuestra gente! || un 25 por ciento de estas unidades familiares está bajo la línea de pobreza, lo cual configura un estrato de muy alta vulnerabilidad.","la herencia de inequidad, pobreza dura y déficits del pasado","El adversario principal es la acumulación histórica de carencias —en educación, salud, vivienda, justicia— legadas por la década del ochenta y por una sociedad que confundía democracia con mercado. Aparece también la amenaza del crimen, el terrorismo y las drogas como fuerzas desintegradoras.","El bajo gasto en salud durante la década del ochenta derivó en un deterioro de las prestaciones, que afectó especialmente a los más pobres, ahondó las inequidades en el acceso. || La actual política social no es capaz por sí sola de dar respuesta a la extrema miseria. Debemos innovar radicalmente, con programas que salgan a buscar a la gente allí donde ella sufre la pobreza y la marginación. || Si los parlamentarios de derecha se negaran a este histórico avance, los afectados no serían los niños y jóvenes de sectores acomodados. Los reales afectados serían los hijos de la gran mayoría de los chilenos.",Chile moderno con igualdad de oportunidades para todos sus habitantes,"La visión aspiracional es una nación integrada donde cada persona —sin importar origen social, género o geografía— acceda a educación de calidad, salud oportuna, vivienda digna y justicia eficaz. Se trata de un proyecto de modernización integral que conjuga crecimiento económico con equidad social.","Es la oportunidad de que nuestra democracia amplíe las libertades públicas; afirme sus sólidas bases económicas, con integración y prestigio en la comunidad internacional, y abra posibilidades ciertas de desarrollo a su gente. || estoy seguro de que desde los primeros años del siglo XXI, Chile contará con una justicia rápida, eficaz, honesta y preparada para resolver los problemas que aquejan a las personas. || buscar que el poder, la riqueza y los frutos del progreso se difundan y distribuyan en la sociedad, y que no se concentren de modo que se restrinja el ámbito de libertad de las generaciones presentes y futuras.",modernización,"El momento se enmarca como una oportunidad histórica irrepetible de transformación integral —educativa, judicial, económica, social— que la Concertación está aprovechando con responsabilidad y sin demagogia. No es ruptura ni refundación, sino construcción laboriosa paso a paso sobre bases democráticas ya conquistadas.","La convicción de que Chile tiene una oportunidad histórica en sus manos, que debe ser aprovechada por la Nación entera, ha sido una orientación permanente y un eje de nuestra acción. || Desde su creación en el siglo pasado, el sistema judicial nunca ha sido reformado integralmente. Éste es el primer gobierno que enfrenta con decisión y profundidad el desafío de modernización de una de las instituciones fundamentales de la sociedad. || En estos años hemos actuado con responsabilidad y prudencia, sin demagogia ni oportunismo. Nos alzamos sobre una realidad trabajosamente conseguida.",abrir oportunidades concretas para toda la gente
discurso_1998,1998,frei,ciudadanos que avanzan por esfuerzo propio hacia el desarrollo,"El sujeto central es el chileno trabajador y emprendedor que, con perseverancia y responsabilidad individual, protagoniza el progreso del país. La nación avanza como suma del esfuerzo colectivo de sus miembros.","La gente se ha esforzado y por eso el país progresa. Nuestra democracia evoluciona y por eso son más sólidas nuestras libertades. || los chilenos trabajan con enorme dedicación, los padres -especialmente, las mujeres, las madres- se preocupan por dar la mejor educación posible a sus hijos, por tener una vivienda propia y cuidarla || Un país que busca desarrollarse depende, ante todo, de sus propias capacidades y del esfuerzo de su gente.",la desigualdad heredada y el rezago institucional del pasado,"El adversario no es una fuerza política concreta sino el lastre acumulado: la exclusión social, el deterioro institucional del período militar y la resistencia de sectores opositores al perfeccionamiento democrático.","el consumo por persona aumentó un 32 por ciento, contra cero por ciento en los 17 años que duró ese gobierno. || Hace nueve años, por ejemplo, el sistema público disponía de un solo scanner; hoy tiene 21. || sectores de la Oposición han sido renuentes al cambio, incluso pasando por encima de acuerdos, de sus dirigentes y organismos de dirección.","Chile desarrollado con equidad, integrado al mundo, al año 2010","La visión aspiracional es una nación desarrollada antes del bicentenario de 2010, donde el crecimiento económico se combina con justicia social, educación de calidad, instituciones modernas y plena inserción global. Es un horizonte generacional concreto, no abstracto.",podemos alcanzar la meta junto con celebrar el segundo centenario de nuestra Independencia: en el año 2010. || Un país donde toda mujer y hombre sean respetados en su dignidad y participen como miembros de una comunidad democrática que valora la justicia social. || Chile se ha hecho parte del mundo y estamos dispuestos a participar en la aventura del futuro que se abre con el próximo siglo.,modernización,"El discurso enmarca el momento histórico como una oportunidad única e irrepetible de modernización integral: económica, educacional e institucional. El tono es el de una generación con una ventana histórica abierta que no puede desperdiciarse.","Llegué al Gobierno con la convicción de que el país tenía una oportunidad histórica: la de convertirse en una nación desarrollada en el tiempo de nuestra generación. || Tenemos que elegir: o seguimos adelante con el proceso de desarrollo del país, que nos impone aceptar mayores transformaciones aún, o dejamos que el futuro pase de largo a nuestro lado. ¡No hay una tercera opción! || Por primera vez tenemos esa posibilidad. Nos separan de ella sólo unos pocos años, pero enormes tareas.",un país que avanza sembrando hoy para cosechar mañana
discurso_1999,1999,frei,la familia chilena que ascendió desde la pobreza y la precariedad,"El sujeto central del relato es la familia chilena concreta, cuya mejora material y de dignidad sirve como medida y justificación de toda la acción de gobierno. No es el ciudadano abstracto ni el pueblo soberano, sino el hogar específico con vivienda, salud, salario y futuro.","Quiero mostrar cómo las familias chilenas, aquel núcleo humano donde crecemos y vivimos, han experimentado un cambio sustantivo en su calidad de vida y en sus proyecciones. || Siempre hemos sostenido que la dignidad de nuestro país es la de todas y cada una de sus familias. || Más de dos millones de chilenas y chilenos han dejado atrás la condición de pobreza; nos muestran que los esfuerzos desplegados han estado en la dirección correcta.","la herencia de precariedad, las crisis externas y el ajuste injusto","El antagonista es doble: por un lado, la pobreza estructural y el abandono de décadas anteriores —especialmente los años 70 y 80— que dejaron al país sin infraestructura, con salarios mínimos miserables y con ajustes que castigaron a los más pobres; por otro, la crisis económica mundial de 1998-1999 que amenaza revertir los logros.","En 1973, la doble vía en la Ruta 5 Sur llegaba hasta San Fernando. A fines de 1989, seguía llegando hasta San Fernando. ¡Ni un solo kilómetro adicional! || Hemos conocido, en los años '80, ajustes económicos que cercenaron implacablemente las pensiones de los más pobres. || La crisis económica, que se inició en Asia y se extendió a varios países del mundo, incluyendo a nuestra América Latina, incidió seriamente en los precios y el dinamismo de nuestras exportaciones.","Chile equitativo, moderno y competitivo que entra al siglo XXI","La visión aspiracional es un Chile donde el crecimiento económico se traduce directamente en calidad de vida para todas las familias, con justicia reformada, educación de alta calidad universal, infraestructura de primer mundo y erradicación definitiva de la pobreza. Es un país que entra al nuevo siglo como líder latinoamericano.","Estamos llevando a cabo la mayor revolución del siglo en la justicia, en la educación, en la infraestructura. || Éste será el principal argumento del país para ingresar con fuerza y decisión al próximo siglo. || sentimos un sano orgullo de que, en esta materia, tengamos eficacia y sigamos trabajando para derrotar para siempre en nuestro país a esta lacra que es la pobreza.",balance,"El discurso se enmarca como un balance de una década democrática en su tramo final, que reconoce logros extraordinarios pero enfrenta una crisis coyuntural. El momento histórico no es ni de refundación ni de urgencia, sino de rendición de cuentas de una transformación ya realizada, con la crisis como paréntesis que no invalida la trayectoria.","Lo hago en el último año de mi período presidencial, cuando estamos cerca de cumplir una década de Gobiernos democráticos y próximos a concluir el siglo. || Mi personal convicción es que, a lo largo de mi Gobierno y de estos nueve años de democracia, hemos trabajado seria y responsablemente por el país y en beneficio de todos los chilenos. || Esta combinación de éxitos y dificultades, de certezas e incertidumbres, no es, por cierto, nueva en nuestra historia.","el rostro de Chile transformado, visible y medible"
